latitude,longitude,displacement (mm),coherence,elevation (m)
13.534,40.665,6.59,0.82,287.24
13.534,40.669,6.48,0.83,282.51
13.534,40.673,6.19,0.88,288.52
13.534,40.677,5.72,0.87,291.35
13.534,40.681,5.21,0.88,297.14
13.534,40.685,4.76,0.86,312.38
13.534,40.689,4.55,0.85,332.25
13.534,40.693,4.45,0.86,350.61
13.534,40.697,4.47,0.87,343.34
13.534,40.701,4.68,0.87,341.47
13.534,40.705,5.11,0.87,332.67
13.534,40.709,5.57,0.89,330.98
13.534,40.713,5.90,0.91,334.72
13.534,40.717,6.19,0.91,337.45
13.534,40.721,6.31,0.92,327.34
13.534,40.725,6.42,0.92,308.41
13.534,40.729,6.60,0.92,298.75
13.534,40.733,6.37,0.91,282.72
13.534,40.737,5.89,0.90,265.52
13.534,40.741,5.66,0.89,235.55
13.534,40.745,6.17,0.89,225.18
13.534,40.749,7.06,0.89,214.18
13.534,40.753,8.25,0.89,191.80
13.534,40.757,9.57,0.89,170.31
13.534,40.761,11.07,0.91,157.07
13.534,40.765,12.54,0.90,133.27
13.534,40.769,13.87,0.90,85.30
13.538,40.569,8.16,0.84,78.90
13.538,40.573,7.37,0.84,96.89
13.538,40.577,6.50,0.82,124.43
13.538,40.581,6.07,0.78,140.17
13.538,40.585,6.38,0.83,159.25
13.538,40.589,7.27,0.85,189.79
13.538,40.593,7.83,0.87,221.27
13.538,40.597,8.60,0.86,264.45
13.538,40.601,9.41,0.83,334.26
13.538,40.605,10.14,0.85,339.26
13.538,40.609,11.04,0.88,354.31
13.538,40.613,12.06,0.84,376.99
13.538,40.617,12.29,0.82,359.96
13.538,40.621,12.05,0.85,359.59
13.538,40.625,11.71,0.85,362.75
13.538,40.629,11.72,0.85,327.75
13.538,40.633,11.28,0.86,310.31
13.538,40.637,9.96,0.86,283.43
13.538,40.641,8.16,0.81,260.73
13.538,40.645,6.86,0.72,261.28
13.538,40.649,6.22,0.86,264.02
13.538,40.653,5.57,0.82,269.76
13.538,40.657,5.04,0.80,274.46
13.538,40.661,4.83,0.80,283.37
13.538,40.665,5.00,0.81,300.10
13.538,40.669,5.23,0.80,293.00
13.538,40.673,5.36,0.85,296.72
13.538,40.677,5.26,0.88,299.36
13.538,40.681,4.71,0.87,306.73
13.538,40.685,4.17,0.86,327.20
13.538,40.689,3.75,0.84,337.83
13.538,40.693,3.47,0.86,350.52
13.538,40.697,3.53,0.87,354.21
13.538,40.701,3.88,0.84,347.44
13.538,40.705,4.50,0.85,334.48
13.538,40.709,5.37,0.85,331.43
13.538,40.713,5.84,0.86,329.96
13.538,40.717,6.32,0.91,329.99
13.538,40.721,6.50,0.92,320.61
13.538,40.725,6.69,0.92,298.29
13.538,40.729,7.11,0.92,288.82
13.538,40.733,7.34,0.91,279.21
13.538,40.737,7.41,0.89,265.18
13.538,40.741,7.82,0.87,243.53
13.538,40.745,8.73,0.88,225.62
13.538,40.749,9.66,0.89,215.21
13.538,40.753,10.58,0.89,204.36
13.538,40.757,11.31,0.89,188.38
13.538,40.761,12.40,0.90,169.08
13.538,40.765,13.74,0.90,140.43
13.538,40.769,15.00,0.89,90.42
13.542,40.569,6.32,0.86,75.06
13.542,40.573,4.99,0.86,99.02
13.542,40.577,3.51,0.85,137.90
13.542,40.581,2.75,0.83,154.04
13.542,40.585,2.41,0.81,156.77
13.542,40.589,2.58,0.83,187.70
13.542,40.593,2.45,0.84,228.05
13.542,40.597,2.23,0.84,253.34
13.542,40.601,2.31,0.86,285.06
13.542,40.605,1.86,0.86,297.28
13.542,40.609,1.80,0.86,309.83
13.542,40.613,2.60,0.86,340.04
13.542,40.617,3.56,0.82,312.73
13.542,40.621,4.29,0.84,325.62
13.542,40.625,5.59,0.86,322.04
13.542,40.629,6.77,0.86,284.71
13.542,40.633,8.08,0.83,261.90
13.542,40.637,8.31,0.65,252.51
